CSLAP Number,Lake Name,Waterbody Index Number,Elevation (meters),Area (hectares),Water Quality Classification,DEC Region,County,Town,Watershed Area (hectares),Mean Depth (meters),Watershed Name,Bathymetric Map available?,Public Access Description,Public Access?,Public/Private Access,Latitude,Longitude,Priority Waterbody List Number,Number of Years Sampled,Trophic State,Sampling Years,Depth (feet),Area (acres),Last Year Sampled,Georeference
153,Somerset Lake,D-66-P268,470,20.7,B,4,Delaware,Hamden,106,6.1,Delaware River,no,no,no,lakefront only,41.91008552,-75.22899983,1401-0141,22,Mesotrophic,1998-2010/2012-2024,20,51.1,2024,POINT (-75.22899983 41.91008552)
206,Yankee Lake,D- 1-12- 8-P21,438,165.8,B,3,Sullivan,Mamakating,700,1.8,Delaware River,no,no,no,private beach launch,41.58669315,-74.55911698,1402-0035,12,Mesotrophic,2006-2011/2013-2015/2017-2019/2022/2023-2024,5.9,409.5,2024,POINT (-74.55911698 41.58669315)
64,Chase Lake,Ont  19- 57- 4-P597,379,54.4,A,6,Lewis,Watson,1508,5.1,Black River,no,no,no,lakefront only,43.75856,-75.30563,0801-0321,7,Mesotrophic,1990-1994/2022/2023-2024,16.7,134.4,2024,POINT (-75.30563 43.75856)
154,Spring Lake,H-204- 2-36- 4-P81,539,10.4,B,4,Rensselaer,Sand Lake,40,4,Lower Hudson River,no,no,no,lakefront only,42.65355231,-73.42028036,1310-0045,17,Mesoligotrophic,1998-2001/2007-2011/2014-2024,13.1,25.7,2024,POINT (-73.42028036 42.65355231)
8,Glen Lake,C-134- 4-19-19-P441,121,129.5,B(T),5,Warren,Glens Falls,2970,5.6,Lake Champlain,no,yes,yes,public carry down,43.36445,-73.67313,1005-0009,32,Mesoligotrophic,1986-1990/1993-1995/1997-2024,18.4,319.9,2024,POINT (-73.67313 43.36445)
40,DeRuyter Reservoir,SR- 44-14-59-34-P56,390,225.3,B,7,Madison,DeRuyter,1011,7.2,Seneca/Oneida/Oswego Rivers,yes,no,no,private ramp,42.81419,-75.89256,0602-0086,33,Mesotrophic,1988-2010/2012-2024,23.6,556.5,2024,POINT (-75.89256 42.81419)
126,Hadlock Pond,C-134- 4-19- 8-P432,138,111.4,AA(T),5,Washington,Fort Ann,2269,5,Lake Champlain,no,yes,yes,public beach,43.4237,-73.57257,1005-0040,15,Mesoligotrophic,1997-2001/2011-2015/2017-2024,16.4,275.2,2024,POINT (-73.57257 43.4237)
195,Deer Lake,D-71-10- 6-P388/ P389,463,13,B,7,Broome,Sanford,227,1.5,Delaware River,no,no,no,lakefront only,42.05980876,-75.55360228,1404-0038,12,Eutrophic,2004-2010/2013-2015/2017-2024,4.8,32.1,2024,POINT (-75.55360228 42.05980876)
39,Eatonbrook Reservoir,SR- 44-82-P163,436,108.8,B,7,Madison,West Eaton,1804,6.2,Susquehanna River,yes,yes,yes,public ramp,42.86051,-75.6991,0602-0041,24,Mesoligotrophic,1988-2000/2010-2013/2015-2024,20.3,268.7,2024,POINT (-75.6991 42.86051)
4,Lake Waccabuc,H- 31-P44-35-P109- 6-P117,144,51.8,A,3,Westchester,South Salem,890,7.3,Lower Hudson River,no,no,no,lakefront only,41.29792356,-73.58427479,1302-0140,27,Mesoeutrophic,1986-1991/1993-1995/2006-2024,23.9,127.9,2024,POINT (-73.58427479 41.29792356)
104,Saratoga Lake,H-299-P27,62,1631.7,A,5,Saratoga,Saratoga Springs,63200,7.7,Upper Hudson River,no,yes,yes,public ramp,43.01643039,-73.74076128,1101-0012,20,Mesoeutrophic,1993-1997/2005-2011/2013/2015-2024,25.3,4030.3,2024,POINT (-73.74076128 43.01643039)
174,Pleasant Lake,H-240-144-21- 7-P745,498,98.4,B,5,Fulton,Stratford,340,6.7,Mohawk River,yes,no,no,lakefront only,43.18847245,-74.59985736,1201-0175,20,Mesoligotrophic,2000/2001/2003-2011/2013-2018/2020-2024,22,243,2024,POINT (-74.59985736 43.18847245)
17,Crooked Lake,SR- 44-14-60-P68-P73,364,46.6,B,7,Onondaga,Tully,903,4.9,Susquehanna River,yes,no,no,private ramp,42.78741,-76.14978,0602-0090,23,Mesotrophic,1986-1990/1993-1998/2009-2024,16.1,115.1,2024,POINT (-76.14978 42.78741)
13,Fulton Second Lake,Ont  19- 81-18-P782a thru P782d,520,106.2,A,6,Herkimer,Old Forge,11270,15.6,Black River,yes,yes,yes,public hand launch/ramp,43.72121,-74.91151,0801-0373,27,Mesoligotrophic,1986-1990/1996-2012/2018-2024,51.2,262.3,2024,POINT (-74.91151 43.72121)
30,Oquaga Lake,D-71- 6-4-P383,479,54.4,AA,7,Broome,Deposit,630,13.9,Delaware River,yes,no,no,lakefront only,42.02236203,-75.45929366,1404-0032,26,Mesoligotrophic,1987-1992/2002-2024,45.6,134.4,2024,POINT (-75.45929366 42.02236203)
135,Lincoln Pond,C- 48-26-P315,314,291.7,B(T),5,Essex,Elizabethtown,4000,3,Lake Champlain,no,yes,yes,public carry down,44.1431,-73.57318,1004-0090,19,Mesoligotrophic,1997-2001/2004/2008-2011/2013-2016/2018-2024,9.8,720.5,2024,POINT (-73.57318 44.1431)
81,Echo Lake,SR- 44-23-11-P81,404,25.9,C,7,Chenango,Smithville,273,4.8,Susquehanna River,no,no,no,lakefront only,42.38553,-75.85068,0602-0093,19,Mesoligotrophic,1991-1995/2002-2010/2012-2015/2021/2022/2023-2024,15.7,64,2024,POINT (-75.85068 42.38553)
212,Song Lake,SR- 44-14-60-P68-P72,363,44,B,7,Cortland,Tully,255,4,Susquehanna River,yes,no,no,lakefront only,42.76854112,-76.14687685,0602-0019,11,Mesotrophic,1988/2007-2024,13.3,108.7,2024,POINT (-76.14687685 42.76854112)
179,Tomkins Lake,H- 43- 4-P150i,123,5.2,B,3,Rockland,Stony Point,36,1.6,Lower Hudson River,no,no,no,lakefront only,41.27156789,-73.99047229,1301-0126,3,Mesotrophic,2001/2020-2024,5.2,12.8,2024,POINT (-73.99047229 41.27156789)
107,Hunt Lake,H-369-P127- 2..P129/ P130/ P131,378,54.4,B,5,Saratoga,Corinth,560,3.76,Upper Hudson River,no,no,no,lakefront only,43.25996122,-73.90574468,1104-0105,24,Mesoligotrophic,1994-1998/2002-2013/2015-2024,12.3328,134.368,2024,POINT (-73.90574468 43.25996122)
108,Jenny Lake,SL-25- 73-19-P138,377,33.7,B,5,Saratoga,Corinth,780,5.5,Upper Hudson River,no,no,no,private beach,43.26620183,-73.91267283,0905-0149,22,Mesoligotrophic,1994-1998/2001-2007/2011-2014/2016-2024,18.04,83.239,2024,POINT (-73.91267283 43.26620183)
259,Tanglewood Lake,Pa 3-58-11-4-1,423,11,B,8,Steuben,Thurston,437,1,Chemung River,no,no,no,no access,42.193635,-77.251116,0502-xxxx,4,Eutrophic,2018-2024,5,27,2024,POINT (-77.251116 42.193635)
44,Duck Lake,Ont  66-12-46-P222,121,80.3,C,7,Cayuga,Conquest,231,2.3,Seneca/Oneida/Oswego Rivers,yes,no,no,private ramp,43.14787364,-76.68958076,0704-0025,21,Eutrophic,1988/1990-1992/1994/1998/2003-2010/2015-2024,7.5,198.3,2024,POINT (-76.68958076 43.14787364)
168,Chenango Lake,SR-146-19- 6-1-P213,534,49.2,A,7,Chenango,New Berlin,180,4.3,Susquehanna River,yes,no,no,private carry down,42.58252301,-75.44134435,0601-0013,21,Mesotrophic,2000-2010/2012-2024,14.2,121.5,2024,POINT (-75.44134435 42.58252301)
133,Lake Salubria,Pa  3-58-20-P51,331,23.3,B,8,Steuben,Bath,746,3.1,Chemung River,no,no,no,lakefront only,42.32927446,-77.29298404,0502-0011,17,Mesoeutrophic,1997-2001/2003-2008/2015/2017-2024,10,57.6,2024,POINT (-77.29298404 42.32927446)
246,Palmer Lake,H- 31-P44-23-P59- 5-P61a,454,4,C,3,Putnam,Carmel,197,1.2,Lower Hudson River,no,yes,yes,private beach,41.438717,-73.673344,1302-0103,6,Eutrophic,2016-2024,4,9.2,2024,POINT (-73.673344 41.438717)
23,Cuba Lake,Pa-53-54-11- 5-P115,471,183.9,B,9,Allegany,Cuba,6606,5.2,Allegheny River,yes,yes,yes,public ramps,42.2505692,-78.2924183,0201-0016,29,Mesotrophic,1986-1988/1990/1991/1998-2000/2002-2024,17.1,454.2,2024,POINT (-78.2924183 42.2505692)
211,Ulster Heights Lake,H-139-14-38- 3-P797a,302,82.9,B,3,Ulster,Wawarsing,2380,1.7,Lower Hudson River,no,no,no,lakefront only,41.77531222,-74.4916879,1306-0120,11,Mesoeutrophic,2007-2012/2014-2019/2021/2022/2023-2024,5.5,204.8,2024,POINT (-74.4916879 41.77531222)
130,Lake Demons,Pa  3-58-31-10-P68,478,13,B,8,Steuben,Howard,75,2.5,Chemung River,no,no,no,lakefront only,42.34780148,-77.47801979,0502-0015,14,Mesoeutrophic,1997-2001/2013-2024,8.2,32.1,2024,POINT (-77.47801979 42.34780148)
26,Wolf Lake,D- 1-33-P37,460,129.5,B,3,Sullivan,Wurtsboro,490,2.1,Delaware River,no,no,no,lakefront only,41.5864138,-74.58910669,1402-0045,18,Mesoeutrophic,1987-1992/1997-2001/2013-2017/2022/2023-2024,6.9,319.9,2024,POINT (-74.58910669 41.5864138)
228,Lake Missapogue,LPB-123-1-P 661,2,31.1,B,1,Suffolk,Southhampton,619,7.3,Long Island Sound/Atlantic Ocean,no,no,no,private beach,40.92016421,-72.41925439,1701-0125,10,Mesotrophic,2011-2014/2016-2024,23.9,76.8,2024,POINT (-72.41925439 40.92016421)
156,Hyde Lake,Ont  18-P390- 1-P391,117,75.1,B,6,Jefferson,Theresa,490,3.5,Lake Ontario,yes,yes,yes,public cartop launch,44.24320076,-75.83299175,0303-0043,11,Mesoeutrophic,1999-2001/2003/2004/2008-2012/2014/2022/2023-2024,11.48,185.497,2024,POINT (-75.83299175 44.24320076)
222,Tuxedo Lake,NJ-12-15-P1007,170,116.6,AA(T),3,Orange,Tuxedo,1477,8.9,Raritan/Newark Bay,yes,no,no,lakefront only,41.19701324,-74.20907306,1501-0050,11,Mesotrophic,2008-2012/2014-2019/2021/2022/2023-2024,29.3,288,2024,POINT (-74.20907306 41.19701324)
251,Wallkill Pond,H-P464B,90,3,B,3,Ulster,Shawangunk,57,1.8,Lower Hudson River,no,no,no,no access,41.651156,-74.219314,1306-xxxx,5,Eutrophic,2017-2024,5.9,8,2024,POINT (-74.219314 41.651156)
204,Lake Rippowam,H- 31-P44-35-P109- 6..P118/ P119,144,13,B,3,Westchester,South Salem,410,2.7,Lower Hudson River,no,no,no,lakefront only,41.29997874,-73.56060449,1302-0141,14,Mesoeutrophic,2006-2011/2013-2024,8.8,32.1,2024,POINT (-73.56060449 41.29997874)
117,Silver Lake,SL- 2-59-31-P351,452,49.2,C(T),6,St. Lawrence,Clifton,145,3.7,St. Lawrence River,no,no,no,lakefront only,44.22697,-74.8264,0904-0059,24,Mesotrophic,1996-2000/2002-2010/2012-2019/2021/2022/2023-2024,12.1,121.5,2024,POINT (-74.8264 44.22697)
32,Arnold Lake,SR-190-P362,540,25.9,B(T),4,Otsego,Milford,108,8.5,Susquehanna River,no,no,no,lakefront only,42.61106105,-75.00496806,0601-0109,5,Mesoligotrophic,1987-1991/1995/2022/2023-2024,27.9,64,2024,POINT (-75.00496806 42.61106105)
232,Bedford Lake,H-31-P44-43-P127,138,10.4,B,3,Westchester,Bedford,281,1.3,Lower Hudson River,no,no,no,private lakefront only,41.19496474,-73.7037672,1302-0147,10,Eutrophic,2012-2024,4.3,25.7,2024,POINT (-73.7037672 41.19496474)
149,Mirror Lake,C- 25-26-35-3-P250,566,49.4,B(T),5,Essex,Lake Placid,400,4.2,Lake Champlain,yes,yes,yes,public hand launch,44.29043,-73.98011,1004-0067,22,Oligotrophic,1998-2001/2003-2011/2013-2024,13.8,122,2024,POINT (-73.98011 44.29043)
223,Sleepy Hollow Lake,H-202-P8f,21,131.9,A,4,Greene,Athens,3650,8.9,Lower Hudson River,no,no,no,private beach launch,42.29506437,-73.80724768,1301-0059,11,Eutrophic,2009-2024,29.3,325.8,2024,POINT (-73.80724768 42.29506437)
99,Otter Lake,Ont  66-12-35-P197- 3-P198,462,114,A,6,Oneida,Forestport,598,1.4,Black River,no,no,no,lakefront only,43.59177578,-75.11808986,0701-0004,22,Mesotrophic,1992-1996/2002-2009/2011/2013/2015-2024,4.6,281.6,2024,POINT (-75.11808986 43.59177578)
238,Pleasure Lake,D-1-38-P45,368,88,B,3,Sullivan,Fallsburg,5350,3.2,Delaware River,no,no,no,private lakefront only,41.69657135,-74.62852174,1402-0055,8,Eutrophic,2014-2024,10.5,217.6,2024,POINT (-74.62852174 41.69657135)
93,Lake Tibet,H- 55-P183e,249,15.5,B,3,Putnam,Kent,176,0.9,Lower Hudson River,no,no,no,lakefront only,41.45236306,-73.77956325,1301-0034,5,Eutrophic,1991-1993/2020-2023,3,38.3,2024,POINT (-73.77956325 41.45236306)
257,Barger Pond,H- 55-12-P181,196,12,B,3,Putnam,Putnam Valley,434,1.8,Lower Hudson River,no,no,no,private beach (2),41.359501,-73.812698,1301-0091,5,Eutrophic,2018-2024,6,30,2024,POINT (-73.812698 41.359501)
66,Duane Lake,H-221- 4-P270- 1- 9-P276a,409,13,B,4,Schenectady,Duanesburg,131,2.3,Lower Hudson River,no,no,no,lakefront only,42.74946103,-74.11232009,1311-0006,32,Eutrophic,1990-2024,7.5,32.1,2024,POINT (-74.11232009 42.74946103)
57,Canadarago Lake,SR-204-P392,389,766.6,A(T),4,Otsego,Richfield Springs,17500,10.1,Susquehanna River,yes,yes,yes,public ramp,42.81579222,-75.00644893,0601-0016,10,Mesotrophic,1989-1993/2017-2024,33.1,1893.5,2024,POINT (-75.00644893 42.81579222)
91,Round Pond,H-204- 2-36- 4- 1-P80,529,5.2,A,4,Rensselaer,Berlin,57,2.2,Lower Hudson River,no,no,no,private beach,42.6446,-73.43552,1310-0044,25,Mesotrophic,1991-1995/2001-2011/2013-2024,7.2,12.8,2024,POINT (-73.43552 42.6446)
169,Eagle Lake,H-391..39-P432..P438,288,170.9,B,5,Essex,Ticonderoga,997,5.4,Upper Hudson River,yes,yes,yes,public ramp,43.88033123,-73.58626545,1104-0235,22,Oligotrophic,2000-2024,17.7,422.1,2024,POINT (-73.58626545 43.88033123)
37,Craine Lake,SR- 44-76-P146,332,10.4,C,7,Madison,Hamilton,50,3.7,Susquehanna River,yes,no,no,private beach,42.76052,-75.55785,0602-0108,24,Mesotrophic,1988-1994/1996-1998/2000/2001/2007/2009-2024,12.1,25.7,2024,POINT (-75.55785 42.76052)
192,Weiden Pond,D-53-1-16-1-P245,295,25.9,B,3,Sullivan,Tusten,3150,1.4,Delaware River,no,no,no,private beach launches,41.59426567,-74.98280751,1401-0124,17,Eutrophic,2004-2013/2015-2024,4.6,64,2024,POINT (-74.98280751 41.59426567)
46,Bradley Brook Reservoir,SR- 44-80-P154,436,57,B,7,Madison,West Eaton,663,4.2,Susquehanna River,yes,no,no,lakefront only,42.83427692,-75.66129414,0602-0111,24,Mesotrophic,1988-2001/2011-2014/2016-2024,13.8,140.8,2024,POINT (-75.66129414 42.83427692)
205,Lake Oscaleta,H- 31-P44-35-P109- 6..P118/ P119,144,23.3,B,3,Westchester,South Salem,645,6.8,Lower Hudson River,no,no,no,lakefront only,41.29654714,-73.56154283,1302-0141,14,Mesoeutrophic,2006-2011/2013-2024,22.3,57.6,2024,POINT (-73.56154283 41.29654714)
48,Lamoka Lake,Pa  3-58-15-P47,335,334.1,A,8,Schulyer,Tyrone,7250,6.6,Chemung River,no,yes,yes,public ramp,42.39657963,-77.08490377,0502-0001,6,Eutrophic,1988-1990/2020-2024,21.6,825.2,2024,POINT (-77.08490377 42.39657963)
72,Lorton Lake,ONT-53-8-P8,285,18.2,C,7,Oswego,Albion,1000,1.4,Lake Ontario,no,no,no,private beach,43.503741,-75.89079,0303-0016,26,Mesotrophic,1990-1994/2000-2013/2015-2024,4.6,45,2024,POINT (-75.89079 43.503741)
158,Lake Luzerne,H-370-P318,190,38.9,B,5,Warren,Lake Luzerne,5710,7.3,Upper Hudson River,no,yes,yes,public cartop launch,43.32281251,-73.83249514,1104-0075,7,Mesoligotrophic,1999-2004/2020-2024,23.9,96.1,2024,POINT (-73.83249514 43.32281251)
2,Lake Carmel,H- 31-P44-23-P59- 6-P62..P62a,189,77.7,B,3,Putnam,Carmel,3405,2.4,Lower Hudson River,yes,no,no,lakefront only,41.45819409,-73.66492893,1302-0006,11,Eutrophic,1986-1990/2016-2024,7.9,191.9,2024,POINT (-73.66492893 41.45819409)
69,Geneganslet Lake,SR- 44-23-35-P88,454,41.4,B,7,Chenango,McDonough,1305,8.5,Susquehanna River,no,no,no,lakefront only,42.51645,-75.77491,0602-0096,29,Mesoligotrophic,1990-2010/2012-2016/2018-2024,27.9,102.3,2024,POINT (-75.77491 42.51645)
103,Panther Lake,Ont  66-11-P26-24-22-15-P94,183,49.2,B,7,Oswego,Constantia,398,2.6,Seneca/Oneida/Oswego Rivers,yes,no,no,private ramp,43.32937976,-75.9087266,0703-0082,12,Mesotrophic,1993-1997/2014-2024,8.4,121.5,2024,POINT (-75.9087266 43.32937976)
120,Augur Lake,C- 25- 8-P213,168,152.8,A,5,Essex,Chesterfield,1134,3,Lake Champlain,yes,no,no,lakefront only,44.45995813,-73.50007675,1004-0050,23,Mesotrophic,1997-2001/2003-2024,9.9,377.4,2024,POINT (-73.50007675 44.45995813)
21,Tuscarora Lake,Ont  66-11-P26-37-47-P164,460,124.3,B,7,Madison,Erieville,1340,4.3,Seneca/Oneida/Oswego Rivers,yes,no,no,lakefront only,42.86651821,-75.75589184,0703-0022,35,Mesotrophic,1986-2013/2015-2024,14.1,307,2024,POINT (-75.75589184 42.86651821)
28,Brant Lake,H-391-31-P347,243,556.9,AAspec,5,Warren,Brant Lake,10300,9.1,Upper Hudson River,no,yes,yes,public ramp,43.71327946,-73.7052721,1104-0037,12,Mesoligotrophic,1987-1991/1999-2003/2019-2024,29.8,1375.5,2024,POINT (-73.7052721 43.71327946)
1,Lake Lucille,NJ- 1/P977a-12-P982b,36,5.2,B,3,Rockland,New City,1091,1.2,Lower Hudson River,yes,no,no,lakefront only,41.18370102,-73.99752518,1501-0017,15,Eutrophic,1986-1990/2012-2024,3.9,12.8,2024,POINT (-73.99752518 41.18370102)
102,Lake Lincolndale,H- 31-P44-17- 5-P57a,145,7.8,B,3,Westchester,Somers,131,2,Lower Hudson River,no,no,no,private beach,41.34137587,-73.72560393,1302-0089,25,Eutrophic,1993-2005/2007-2009/2013-2024,6.5,19.3,2024,POINT (-73.72560393 41.34137587)
134,Lime Lake,Ont 158..E-23-48-3-P130,499,62.2,B,9,Cattaraugus,Machias,389,5.5,Lake Erie/Niagara River,yes,yes,yes,public carry down,42.42756932,-78.48004154,0104-0001,16,Mesoeutrophic,1997-1999/2001/2002/2005/2011-2014/2016-2024,18,153.6,2024,POINT (-78.48004154 42.42756932)
181,Taconic Pond,H-264-38-12-P1129,499,13,C(T),4,Rensselaer,Grafton,115,4.7,Upper Hudson River,no,no,no,lakefront only,42.7353162,-73.4126407,1102-0029,15,Mesoligotrophic,2002/2003/2006/2007/2009-2011/2013-2024,15.4,32.1,2024,POINT (-73.4126407 42.7353162)
150,Mohegan Lake,H- 55-11-P179,136,41.4,B,3,Westchester,Yorktown,262,2.4,Lower Hudson River,no,no,no,private beaches,41.3145921,-73.85052911,1301-0149,23,Eutrophic,1998-2024,7.9,102.3,2024,POINT (-73.85052911 41.3145921)
49,Sodus Bay,Ont  84/P96,75,1358.5,B,8,Wayne,Sodus Point,192100,3.9,Lake Ontario,no,yes,yes,public and private ramps,43.24853087,-76.95807838,0302-0020,17,Mesoeutrophic,1988-1991/2001-2005/2013-2024,12.8,3355.5,2024,POINT (-76.95807838 43.24853087)
266,Upper Rhoda Pond,H-188-55-P889,165,29.5,B,4,Columbia,Copake,306,1.2,Lower Hudson River,no,no,no,private lakefront only,42.0946999,-73.5892029,1308-0018,1,Mesotrophic,2021/2022/2023-2024,3.9,72.8,2024,POINT (-73.5892029 42.0946999)
220,We Wah Lake,NJ-12-15-P1005,151,23.3,B,3,Orange,Tuxedo,1671,2.5,Raritan/Newark Bay,no,no,no,private beach,41.21579211,-74.19463791,1501-0049,10,Mesoeutrophic,2008-2012/2014-2016/2019/2021/2022/2023-2024,8.2,57.6,2024,POINT (-74.19463791 41.21579211)
210,Little Long Pond,(MW7.1b) AO-P790-P799/ P800/ P803,5,5.2,C,1,Suffolk,Southampton,98,2.9,Long Island Sound/Atlantic Ocean,no,no,no,no access,40.93326184,-72.32088643,1701-0291,14,Mesotrophic,2006-2009/2011-2024,9.4,12.8,2024,POINT (-72.32088643 40.93326184)
183,Forest Lake,H-236-22-11-P441,475,7.8,A,4,Rensselaer,Grafton,85,2.2,Lower Hudson River,no,no,no,lakefront only,42.7319753,-73.46103404,1301-0267,15,Mesoligotrophic,2003-2006/2008-2011/2013-2024,7.2,19.3,2024,POINT (-73.46103404 42.7319753)
258,Fresh Pond,SIS-SI-P458,1,6,C,1,Suffolk,Shelter Island,73,6,Long Island Sound/Atlantic Ocean,yes,yes,yes,public carry down/ informal,41.05710637,-72.33632714,1701-0241,4,Mesoeutrophic,2018-2024,19.7,14.1,2024,POINT (-72.33632714 41.05710637)
236,Montgomery Lake,D-30-2-P186,351,7.8,B,3,Sullivan,Highland,69,4.7,Delaware River,no,no,no,private lakefront only,41.52539582,-74.91719097,1401-0091,8,Mesoeutrophic,2012-2024,15.4,19.3,2024,POINT (-74.91719097 41.52539582)
234,Tully Lake,SR-44-14-60-P68,364,93.2,B,7,Cortland,Tully,69,4.7,Susquehanna River,yes,yes,yes,public hand launch,42.77651921,-76.13528477,0602-0018,10,Mesotrophic,2012-2024,15.4,230.2,2024,POINT (-76.13528477 42.77651921)
