CSLAP Number,Lake Name,Waterbody Index Number,Elevation (meters),Area (hectares),Water Quality Classification,DEC Region,County,Town,Watershed Area (hectares),Mean Depth (meters),Watershed Name,Bathymetric Map available?,Public Access Description,Public Access?,Public/Private Access,Latitude,Longitude,Priority Waterbody List Number,Number of Years Sampled,Trophic State,Sampling Years,Depth (feet),Area (acres),Last Year Sampled,Georeference
50,Lake Bonaparte,SL-25-  7/P1- 3-55-P24,234,520.6,B,6,Lewis,Harrisville,4770,9.4,St. Lawrence River,yes,yes,yes,public ramp,44.14926394,-75.39267283,0906-0016,25,Mesoligotrophic,1988-1992/1998-2001/2007-2024,30.8,1285.9,2024,POINT (-75.39267283 44.14926394)
45,Lake Como,Ont  66-12-P296- 74-P333,399,25.9,B,7,Cayuga,Summerhill,410,2.9,Seneca/Oneida/Oswego Rivers,yes,no,no,private ramp,42.67738347,-76.30235766,0705-0029,31,Mesoeutrophic,1988-1994/1997-2024,9.5,64,2024,POINT (-76.30235766 42.67738347)
38,Lebanon Reservoir,SR- 44-79-P153,399,36.3,B(T),7,Madison,Lebanon,1289,6.4,Susquehanna River,yes,yes,yes,public ramp,42.8033211,-75.6067665,0602-0109,24,Mesoeutrophic,1988-1994/1997-2001/2003-2005/2011-2013/2015-2019/2021/2022/2023-2024,21,89.7,2024,POINT (-75.6067665 42.8033211)
82,Friends Lake,H-391-33-8-P365,278,183.9,AAspec,5,Warren,Chester,1440,4.2,Upper Hudson River,no,no,no,lakefront only,43.62589795,-73.84461464,1104-0205,24,Mesotrophic,1991-1995/2001-2010/2012-2014/2016-2022,13.8,454.2,2024,POINT (-73.84461464 43.62589795)
190,Smith Pond,Pa  3-58-31- 7-P66,493,18.1,B,8,Steuben,Howard,143,3.8,Chemung River,no,no,no,lakefront only,42.38878839,-77.47447635,0502-0012,16,Eutrophic,2003-2011/2013-2022/2024,12.3,44.7,2024,POINT (-77.47447635 42.38878839)
209,Long Pond,SIS-132-P702,4,27.9,C,1,Suffolk,Southampton,461,1,Long Island Sound/Atlantic Ocean,no,yes,yes,public launch,40.975739,-72.291392,1701-0353,6,Mesoeutrophic,2016-2024,3.3,68.9,2024,POINT (-72.291392 40.975739)
31,Melody Lake,SR- 44-14-27-23-P39,427,15.5,C,7,Cortland,Willet,500,2.1,Susquehanna River,no,no,no,lakefront only,42.470198,-75.874422,0602-0053,31,Mesoeutrophic,1987-1991/1997-2024,6.9,38.3,2024,POINT (-75.874422 42.470198)
230,Kirk Lake,H- 31-P44-14- 7-P52,179,49.2,B,3,Putnam,Carmel,1053,3.1,Lower Hudson River,no,no,no,private beach,41.38732075,-73.75234857,1302-0080,10,Eutrophic,2011-2024,10,121.5,2024,POINT (-73.75234857 41.38732075)
36,Hatch Lake,SR- 44-80-P154-1-P155,448,54.4,B,7,Madison,West Eaton,354,6.6,Susquehanna River,yes,no,no,lakefront only,42.83468044,-75.67786932,0602-0112,23,Mesotrophic,1988-1996/1998-2001/2003/2004/2011-2014/2016-2024,21.6,134.4,2024,POINT (-75.67786932 42.83468044)
215,Eagle Pond,SL(C)-32- 6-P73-26-P78/ P83,445,15.5,C,5,Franklin,Duane,132,0.4,St. Lawrence River,no,no,no,lakefront only,44.66915534,-74.27428203,0902-0104,12,Mesoligooeutrophic,2006-2013/2015-2024,1.3,38.3,2024,POINT (-74.27428203 44.66915534)
68,Galway Lake,H-240- 69-P563,259,209.8,B,5,Saratoga,Galway,2392,2.6,Mohawk River,no,no,no,lakefront only,43.03063211,-74.07539778,1201-0110,29,Mesotrophic,1990-1997/2000-2010/2012-2024,8.5,518.2,2024,POINT (-74.07539778 43.03063211)
53,Anawanda Lake,D- 1-38-3-2-P41,549,15.5,B(T),3,Sullivan,Callicoon Center,80,6.6,Delaware River,no,no,no,private beach,41.85708,-74.963,1402-0054,32,Mesoligotrophic,1988-1993/1995/1996/1998-2024,21.6,38.3,2024,POINT (-74.963 41.85708)
109,Orange Lake,H- 94- 6-P340,149,165.8,B,3,Orange,Newburgh,2703,2.5,Lower Hudson River,no,no,no,lakefront only,41.54873895,-74.1035787,1301-0008,17,Eutrophic,1994-1998/2002/2005/2011-2024,8.2,409.5,2024,POINT (-74.1035787 41.54873895)
89,Pleasant Lake,Ont  66-11-14a-P19,123,15.5,B,7,Oswego,Schroeppel,51,1.4,Seneca/Oneida/Oswego Rivers,no,no,no,lakefront only,43.23616,-76.22482,0703-0047,22,Eutrophic,1991-1995/1998/2001/2002/2007-2012/2014-2024,4.6,38.3,2024,POINT (-76.22482 43.23616)
203,Timber Lake,H- 31-P44-23-P59- 6-P62..P62a,80,2.9,B,3,Westchester,Lewisboro,85,1.5,Lower Hudson River,no,no,no,lakefront only,41.29387045,-73.66304989,1302-0006,11,Eutrophic,2006/2009-2011/2014-2019/2021/2022/2023-2024,4.9,7.2,2024,POINT (-73.66304989 41.29387045)
160,Lake of the Woods,SL-25-  7/P1- 3-17-P 9,100,67.3,C,6,Jefferson,Alexandria,270,13,St. Lawrence River,yes,yes,yes,public cartop launch,44.31551181,-75.72710782,0906-0038,16,Oligotrophic,1999-2005/2008/2015-2019/2021/2022/2023-2024,42.6,166.2,2024,POINT (-75.72710782 44.31551181)
100,Peck Lake,H-240-127-25-P686,424,554.3,C,5,Fulton,Bleeker,4960,5.8,Mohawk River,no,no,no,private ramp,43.11461031,-74.41234212,1201-0016,18,Mesoligotrophic,1992-1996/2008-2012/2014-2024,19,1369.1,2024,POINT (-74.41234212 43.11461031)
59,Robinson Pond,H-188-P902,162,46.6,B(T),4,Columbia,Copake,906,4,Lower Hudson River,no,yes,yes,public beach,42.11876,-73.55578,1308-0003,19,Eutrophic,1989-1993/2007-2012/2014-2024,13.1,115.1,2024,POINT (-73.55578 42.11876)
265,Waneta Lake,Pa 3-58-15-P47- 4-P48,334,317.5,A,8,Schuyler,Tyrone,2544,4,Chemung River,yes,yes,yes,public launch,42.4445,-77.101799,0502-0002,2,Eutrophic,2020-2024,12,784.5,2024,POINT (-77.101799 42.4445)
260,Seven Hills Lake,H- 31-P44-23..P76..P77c,194,19,B,3,Putnam,Kent,1513,1.8,Lower Hudson River,no,no,no,no access,41.4841003,-73.7491989,1302-0121,3,Mesoeutrophic,2019-2024,5.9,47,2024,POINT (-73.7491989 41.4841003)
136,Loon Lake,Pa  3-58-38..P79,518,67.3,B,8,Steuben,Wayland,602,6.1,Chemung River,no,no,no,lakefront only,42.49276274,-77.56723663,0502-0039,28,Mesotrophic,1997-2024,20,166.2,2024,POINT (-77.56723663 42.49276274)
90,Plymouth Reservoir,SR- 44-54- 8-P107,534,31.1,B,7,Chenango,Plymouth,434,1.3,Susquehanna River,no,no,no,lakefront only,42.58810121,-75.6511257,0602-0014,30,Mesotrophic,1991-2010/2012-2024,4.3,76.8,2024,POINT (-75.6511257 42.58810121)
113,Indian Lake,H- 55- 2- 4-P167,150,20.7,A,3,Putnam,Putnam Valley,88.8,9.2,Lower Hudson River,no,no,no,lakefront only,41.3731,-73.8877,1301-0143,24,Mesotrophic,1994-1996/1998-2001/2003-2011/2013-2024,30.176,51.129,2024,POINT (-73.8877 41.3731)
196,Grass Lake,SL-25-  7/P1- 5-P51,98,129.5,C,6,St. Lawrence,Rossie,955,7.2,St. Lawrence River,no,yes,yes,public carry down,44.3344264,-75.7149427,0906-0060,16,Mesotrophic,2004-2011/2013-2019/2021/2022/2023-2024,23.7,319.9,2024,POINT (-75.7149427 44.3344264)
73,Lake Peekskill,H- 55- 7-P171,89,23.3,B,3,Putnam,Putnam Valley,286,3.7,Lower Hudson River,yes,no,no,lakefront only,41.3400698,-73.88260749,1301-0147,28,Mesoeutrophic,1990-1994/1996/1998/2000-2010/2012/2014-2024,12.1,57.6,2024,POINT (-73.88260749 41.3400698)
216,Beaver Dam Lake,H- 89-12-P234,101,164,B,3,Orange,Blooming Grove,66,3.5,Lower Hudson River,no,no,no,lakefront only,41.44295286,-74.11541711,1303-0021,10,Eutrophic,2008-2018/2021/2022/2023-2024,11.6,405.1,2024,POINT (-74.11541711 41.44295286)
224,Upper Little York Lake,SR- 44-14-60-P67,351,41.4,B,7,Cortland,Homer,7860,9.9,Susquehanna River,yes,yes,yes,public ramp,42.70306702,-76.15626802,0602-0017,12,Mesoligotrophic,2009-2013/2015-2018/2020-2024,32.4,102.3,2024,POINT (-76.15626802 42.70306702)
250,Lower Rhoda Lake,H-188-55-P888,153,21,B,4,Columbia,Copake,714,9,Lower Hudson River,no,no,no,no access,42.07931753,-73.5941095,1308-0018,5,Mesotrophic,2017-2024,29.5,58,2024,POINT (-73.5941095 42.07931753)
194,Guilford Lake,SR-146- 1-P188,475,28.5,AA,7,Chenango,Guilford,213,8.9,Susquehanna River,yes,yes,yes,public carry down,42.41304892,-75.49939567,0601-0012,15,Mesotrophic,2004-2008/2012-2024,29.3,70.4,2024,POINT (-75.49939567 42.41304892)
41,Cazenovia Lake,Ont  66-11-P26-37-35-P153,363,479.2,A,7,Madison,Cazenovia,2230,7.1,Seneca/Oneida/Oswego Rivers,yes,yes,yes,public carry down,42.94983172,-75.87397824,0703-0021,30,Mesoligotrophic,1988-2002/2004-2009/2011-2024,23.3,1183.6,2024,POINT (-75.87397824 42.94983172)
163,Mariaville Lake,H-240- 70-P570,388,80.3,B,4,Schenectady,Duanesburg,730,1.7,Mohawk River,no,no,no,lakefront only,42.82845637,-74.12632175,1201-0113,18,Eutrophic,1999-2011/2014-2018/2022/2023-2024,5.6,198.3,2024,POINT (-74.12632175 42.82845637)
132,Lake Guymard,D- 1-10-P14,216,13,B,3,Orange,Mount Hope,111,2,Delaware River,no,no,no,lakefront only,41.42918,-74.59938,1402-0031,12,Mesotrophic,1996-2001/2003/2011-2013/2018/2019/2021/2022/2023-2024,6.6,32.1,2024,POINT (-74.59938 41.42918)
137,Millsite Lake,SL-25-  7/P1- 8- P54..P55,91,204.6,B,6,Jefferson,Theresa,420,12.8,St. Lawrence River,yes,yes,yes,public ramp,44.29094033,-75.77577538,0906-0064,25,Mesoligotrophic,1997-2024,42,505.4,2024,POINT (-75.77577538 44.29094033)
229,Barrett Pond,H-31-P 44-23-P 67-5-P 71,237,28.5,B,3,Putnam,Kent,166,4.9,Lower Hudson River,no,no,no,lakefront only,41.43394508,-73.74063288,1302-0115,10,Eutrophic,2011-2015/2017-2024,16.1,70.4,2024,POINT (-73.74063288 41.43394508)
166,Lake Sunnyside,C-134- 4-19-19-P440,107,10.4,B,5,Warren,Queensbury,63,4.6,Lake Champlain,no,no,no,lakefront only,43.37534871,-73.63978734,1005-0047,15,Mesoligotrophic,1999-2003/2011-2015/2017-2024,15,25.7,2024,POINT (-73.63978734 43.37534871)
138,Sepasco Lake,H-158-13- 3-P826,95,10.4,B,3,Dutchess,Red Hook,149,4.2,Lower Hudson River,no,no,no,lakefront only,41.95946814,-73.83853195,1301-0214,23,Mesotrophic,1997-2001/2003-2011/2013-2024,13.9,25.7,2024,POINT (-73.83853195 41.95946814)
83,Kasoag Lake,Ont  66-11-P26-24-P109,189,23.3,B,7,Oswego,Williamstown,2269,2.1,Seneca/Oneida/Oswego Rivers,no,yes,yes,public hand launch,43.4727955,-75.92304134,0703-0087,24,Mesotrophic,1991-1995/2001-2010/2012-2015/2017-2024,6.888,57.551,2024,POINT (-75.92304134 43.4727955)
98,Moon Lake,SL-25- 50-P71,119,88.1,C,6,Jefferson,Theresa,370,3.7,St. Lawrence River,yes,yes,yes,public cartop launch,44.2524702,-75.73780869,0905-0093,5,Eutrophic,1992-1996/2016/2022/2023-2024,12.1,217.6,2024,POINT (-75.73780869 44.2524702)
67,East Caroga Lake,H-240-127-P697,442,139.9,B,5,Fulton,Caroga,300,3.9,Mohawk River,yes,yes,yes,public ramp,43.12772642,-74.4840928,1201-0046,27,Mesoligotrophic,1990-1994/2000-2010/2012-2022,12.8,345.6,2024,POINT (-74.4840928 43.12772642)
244,Rushford Lake,ONT-117-136-P146,439,231.6,B(T),9,Allegany,Rushford,2797,14.3,Lake Ontario,yes,yes,yes,public launch,42.37690837,-78.20054551,0403-0024,5,Mesoligotrophic,2016-2019/2021/2022/2023-2024,47,572.3,2024,POINT (-78.20054551 42.37690837)
240,Lake Pleasant,H-369-P313,526,583,AA,5,Hamilton,Lake Pleasant,3201,8.8,Upper Hudson River,yes,yes,yes,public hand launch,43.47756539,-74.37739339,1104-0051,5,Oligotrophic,2012/2014-2016/2020-2022,28.9,1439.5,2024,POINT (-74.37739339 43.47756539)
235,Big Bowman Lake,H-236-24-PN444,430,13,B,4,Rensselaer,Sand Lake,235,4.5,Lower Hudson River,no,no,no,private lakefront only,42.64871364,-73.4881489,1301-0270,8,Mesotrophic,2013-2024,14.8,32.1,2024,POINT (-73.4881489 42.64871364)
78,Beaver Lake,SR- 99- 1-P174,446,15.5,C,7,Broome,Windsor,136,2.3,Susquehanna River,no,no,no,lakefront only,42.04553,-75.66561,0601-0066,23,Mesoeutrophic,1991-1994/2002-2010/2012-2024,7.5,38.3,2024,POINT (-75.66561 42.04553)
52,Queechy Lake,H-204- 2-10-P57,311,51.8,B(T),4,Columbia,Canaan,220,5.6,Lower Hudson River,yes,yes,yes,public carry down,42.4069689,-73.41588633,1310-0033,31,Mesoligotrophic,1988-1992/1998-2024,18.4,127.9,2024,POINT (-73.41588633 42.4069689)
95,Warn Lake,SR- 44-P94,285,13,C,7,Chenango,Oxford,269,3.7,Susquehanna River,no,no,no,lakefront only,42.37451,-75.6464,0602-0116,26,Mesotrophic,1991-1995/2001-2010/2012-2023,12.1,32.1,2024,POINT (-75.6464 42.37451)
29,Babcock Lake,H-264- 4-P1095-3-6-P1109,404,18.1,A,4,Rensselaer,Grafton,120,4.6,Upper Hudson River,no,no,no,private beach,42.81738617,-73.39949441,1102-0014,34,Mesoligotrophic,1987-2024,15.1,44.7,2024,POINT (-73.39949441 42.81738617)
20,Petonia Lake,SR- 44-23- 3-P78,291,10.4,A,7,Chenango,Greene,179,4.5,Susquehanna River,yes,no,no,lakefront only,42.33173,-75.79847,0602-0092,26,Mesoligotrophic,1986-1990/2001-2024,14.8,25.7,2024,POINT (-75.79847 42.33173)
176,Canada Lake,H-240-144 (portion 1a)/P703a,473,51.8,B,5,Fulton,Caroga,10857,21.3,Mohawk River,yes,yes,yes,public ramp,43.16706344,-74.51833942,1201-0150,20,Mesoligotrophic,2001-2010/2012-2024,69.9,127.9,2024,POINT (-74.51833942 43.16706344)
12,Butterfield Lake,SL-25-  7/P1- 8- P54,85,406.6,B,6,Jefferson,Redwood,1720,4.4,St. Lawrence River,yes,yes,yes,public ramp,44.31828057,-75.77491942,0906-0020,35,Mesoeutrophic,1986-1990/1992-2010/2012-2024,14.4,1004.3,2024,POINT (-75.77491942 44.31828057)
18,Lake Moraine,SR- 44-78-P152,369,101,B,7,Madison,Hamilton,2113,5.5,Susquehanna River,yes,yes,yes,public ramp,42.85575841,-75.51734423,0602-0007,36,Mesoeutrophic,1986-2024,18,249.5,2024,POINT (-75.51734423 42.85575841)
225,Roaring Brook Lake,H- 55-18-P183a,236,46.6,B,3,Putnam,Putnam Valley,466,2,Lower Hudson River,no,no,no,private beach,41.43920316,-73.80795447,1301-0037,11,Mesotrophic,2009-2013/2015-2024,6.6,115.1,2024,POINT (-73.80795447 41.43920316)
164,Peach Lake,H- 31-P44-24- P89-10-P93,162,101,B,3,Putnam,Southeast,444,3.7,Lower Hudson River,no,no,no,lakefront only,41.36288373,-73.5798748,1302-0004,20,Mesoeutrophic,1999-2008/2010/2011/2013-2024,12.1,249.5,2024,POINT (-73.5798748 41.36288373)
114,Sagamore Lake,SL- 1-P109..P293- 6-P313,200,46.6,B,3,Putnam,Kent,1708,2.3,Lower Hudson River,no,no,no,lakefront only,41.47278581,-73.78145824,0903-0209,6,Mesotrophic,1994-1997/2020-2024,7.5,115.1,2024,POINT (-73.78145824 41.47278581)
145,West Caroga Lake,H-240-127-P698,444,126.9,B,5,Fulton,Caroga,1440,10.4,Mohawk River,yes,no,no,lakefront only,43.1366985,-74.49605528,1201-0144,7,Mesoligotrophic,1997-2001/2007/2019-2024,34.1,313.4,2024,POINT (-74.49605528 43.1366985)
25,Silver Lake,Ont 117- 70-P115,412,328.9,A,9,Wyoming,Perry,5230,7.2,Genesee River,no,yes,yes,public ramp,42.69561,-78.03417,0403-0002,24,Eutrophic,1986-1990/1996/1997/2006-2024,23.6,812.4,2024,POINT (-78.03417 42.69561)
96,Cossayuna Lake,H-301-17-P79,147,266.8,A,5,Washington,Argyle,3060,3.7,Upper Hudson River,no,yes,yes,public ramp,43.20579516,-73.42319407,1103-0002,27,Eutrophic,1992-1996/1998-2010/2012-2024,12.1,659,2024,POINT (-73.42319407 43.20579516)
267,Mountain Lake,D-10-18-P114,366,23.7,B,3,Sullivan,Smallwood,2253,2,Delaware River,no,no,no,private lakefront only,41.657101,-74.814796,1401-0058,1,Eutrophic,2021/2022/2023-2024,6.6,58.6,2024,POINT (-74.814796 41.657101)
249,Long Pond,H-188-55-P 887,153,5,B,4,Columbia,Ancram,797,4,Lower Hudson River,no,no,no,no access,42.068622,-73.591409,1308-0018,5,Mesotrophic,2017-2024,13.1,13,2024,POINT (-73.591409 42.068622)
231,Buckingham Lake,H-221-P 302/  P 303,61,2.4,C,4,Albany,Albany,64,0.9,Lower Hudson River,no,no,no,lakefront only,42.66355226,-73.80713591,1301-xxxx,8,Eutrophic,2011-2014/2018-2024,3,5.9,2024,POINT (-73.80713591 42.66355226)
245,Jamesville Reservoir,ONT-66-11-P26-37-6-P144,195,90.528178,AA,7,Onondaga,Jamesville,11292.35,4.297,Lake Ontario,yes,yes,yes,public launch,42.97363139,-76.06901886,0703-0015,6,Mesotrophic,2016-2024,14.09416,223.7,2024,POINT (-76.06901886 42.97363139)
221,Little We Wah Lake,NJ-12-15-P 1006,160,4.5,B,3,Orange,Tuxedo,1568,2.2,Raritan/Newark Bay,no,no,no,lakefront only,41.21061085,-74.20045471,1501-0049,11,Mesoeutrophic,2008-2012/2014-2019/2021/2022/2023-2024,7.1,11.1,2024,POINT (-74.20045471 41.21061085)
147,Java Lake,Ont 158..E-23-P152,504,20.7,B,9,Wyoming,Java,270,2.585,Lake Erie/Niagara River,no,no,no,private beach,42.63184537,-78.34372495,0104-0004,16,Eutrophic,1998/1999/2007-2024,8.4788,51.129,2024,POINT (-78.34372495 42.63184537)
226,China Pond,H-31-P 44-23-3-P 75,234,18.1,B,3,Putnam,Kent,121,7.1,Lower Hudson River,no,no,no,lakefront only,41.44174532,-73.74349638,1302-0118,10,Eutrophic,2011-2014/2016-2024,23.1,44.7,2024,POINT (-73.74349638 41.44174532)
88,Lake Placid,C- 25-26-35-5-P254,566,1134.4,AAspec,5,Essex,North Elba,5140,8.8,Lake Champlain,yes,yes,yes,public ramp,44.32225577,-73.97380522,1004-0068,31,Oligotrophic,1991-2024,28.9,2802,2024,POINT (-73.97380522 44.32225577)
170.1,Deer River Flow,SL(C)-32- 6-P73,444,148,C(T),5,Franklin,Duane,7166,1.1,St. Lawrence River,no,yes,yes,public hand launch,44.6533,-74.3061,0902-0102,10,Mesoeutrophic,2000-2003/2006/2012/2014/2018-2024,3.6,365,2024,POINT (-74.3061 44.6533)
213,Stissing Lake,H-101-P408/P409/P410,138,28.5,B,3,Dutchess,Pine Plains,555,3.5,Lower Hudson River,yes,yes,yes,public ramp,41.97146662,-73.67365617,1305-0010,10,Mesoeutrophic,2007-2012/2014/2017-2024,11.6,70.4,2024,POINT (-73.67365617 41.97146662)
175,Brantingham Lake,Ont  19- 70- 4-P689,377,132.2,A,6,Lewis,Greig,658,8.6,Black River,yes,no,no,lakefront only,43.69491587,-75.27408883,0801-0176,19,Mesoligotrophic,2001-2010/2012-2014/2016-2024,28.2,326.5,2024,POINT (-75.27408883 43.69491587)
122,Burden Lake,H-235-P386,191,148,B,4,Rensselaer,Sand Lake,1130,3,Lower Hudson River,yes,no,no,lakefront only,42.60194324,-73.56202837,1301-0025,20,Mesotrophic,1997-1999/2003-2011/2013-2024,9.8,365.6,2024,POINT (-73.56202837 42.60194324)
58,Little Fresh Pond,(MW6.3c) GB..LPB-123..P661/ P662,3,7.8,B,1,Suffolk,Southhampton,224,3,Long Island Sound/Atlantic Ocean,no,no,no,lakefront only,40.91817051,-72.408429,1701-0125,27,Eutrophic,1989-1993/2000/2002-2024,9.8,19.3,2024,POINT (-72.408429 40.91817051)
177,Lake Forest,H-370-P328,217,18.1,B,5,Warren,Lake Luzerne,308,1.6,Upper Hudson River,no,no,no,lakefront only,43.367216,-73.790681,1104-0184,18,Mesotrophic,2001-2010/2012-2024,5.1,44.7,2024,POINT (-73.790681 43.367216)
268,Round Lake,H-260-P1089,47,130,B,5,Saratoga,Malta,7019,2.1,Upper Hudson River,yes,yes,yes,pubic ramp,42.93,-73.78,1101-0060,1,Mesoeutrophic,2022/2023-2024,7,321,2024,POINT (-73.78 42.93)
269,Indian Falls Lake,ONT-158-12-20A-P5214,240,,,8,Genesee,Pembroke,49,,Lake Erie/Niagara River,,,,private,43.028,-78.407,,1,Eutrophic,2022/2023-2024,,,2024,POINT (-78.407 43.028)
270,Afton Lake,SR-P180,313,8,B,7,Chenango,Afton,88,8.2,Susquehanna River,no,no,no,private,42.24,-75.51,0601-0010,1,Mesotrophic,2022/2023-2024,27,19,2024,POINT (-75.51 42.24)
272,York Lake,D-34-P203,340,42,B,3,Sullivan,Highland,132,,Delaware River,no,no,no,private,41.5,-74.97,1401-0099,1,Mesoligotrophic,2022/2023-2024,,103,2024,POINT (-74.97 41.5)
273,Lochada Lake,D-16-5-P170,375,37,B,3,Sullivan,Lumberland,184,9.7,Delaware River,no,no,no,private,41.49,-74.86,1401-0079,1,Mesoeutrophic,2022/2023,31.8,92,2024,POINT (-74.86 41.49)
199,Lake George,C-101-P367,96,11401,AA-S,5,Warren,Hague,60372,14.5,Lake Champlain,yes,yes,yes,public launch,43.5585,-73.62831,1006-0016,17,Oligotrophic,2001/2004-2014/2017-2023,47.6,28173,2024,POINT (-73.62831 43.5585)
256,Otisco,ONT-66-12-12-P154-6-P175,239,894,AA,7,Onondaga,Spafford,10981,10.2,Oswego River,yes,yes,yes,public launch,42.8745,-76.29633,0702-0011,6,Mesotrophic,2017-2024,33.5,2210,2024,POINT (-76.29633 42.8745)
51,Black Lake,SL-25-7-P1,85,3380,B,6,St Lawrence,Morristown,144400,2.5,St. Lawrence River,yes,yes,yes,public launch,44.50507,-75.58288,0906-0001,34,Etrophic,1988-2019/2021/2022/2023-2024,8.2,8352,2024,POINT (-75.58288 44.50507)
61.1,Owasco Lake,ONT-66-12-43-P212,216,2745,AA(T),7,Cayuga,Fleming,52480,29.1,Oswego River,yes,yes,yes,public launch,42.83135,-76.50767,0706-0009,12,Mesoligotrophic,1989-1994/2017-2024,95.5,6784,2024,POINT (-76.50767 42.83135)
